Omega_n,total,abundant,abundant_share
0,1,0,0.0
1,664579,0,0.0
2,1904324,0,0.0
3,2444359,125798,0.051464617104116046
4,2050696,427538,0.20848433897564533
5,1349779,628517,0.46564437585708474
6,774078,567003,0.7324881988636804
7,409849,352258,0.8594823947356222
8,207207,190287,0.9183425270381792
9,101787,95773,0.9409158340456051
10,49163,46574,0.9473384455789924
11,23448,22410,0.9557318321392017
12,11068,10940,0.9884351282977955
13,5210,5199,0.9978886756238003
14,2406,2403,0.9987531172069826
15,1124,1123,0.9991103202846975
16,510,509,0.9980392156862745
17,233,232,0.9957081545064378
18,102,101,0.9901960784313726
19,45,44,0.9777777777777777
20,21,20,0.9523809523809523
21,7,6,0.8571428571428571
22,3,2,0.6666666666666666
23,1,0,0.0
